"LAKE_ID","SAMPLE_DATE","year","decade","dyear","month","log_NPratio","Result.Value"
"1701LLO0708",2016-06-04,2016,2010,2016.42349726776,"06","NPratio",4.68800619156724
"1103COS0079",2016-06-03,2016,2010,2016.42076502732,"06","NPratio",-0.966440515559627
"0602HAT0155",2016-06-05,2016,2010,2016.4262295082,"06","NPratio",0.383825933004683
"1401MON0186",2016-06-04,2016,2010,2016.42349726776,"06","NPratio",-0.966440515559627
"1401DEV0174",2016-06-04,2016,2010,2016.42349726776,"06","NPratio",-0.898999234764094
"0602DEA0036",2016-06-04,2016,2010,2016.42349726776,"06","NPratio",-1.49514876603197
"0202CHA0122",2016-06-05,2016,2010,2016.4262295082,"06","NPratio",-2.07227305220122
"0602EAT0163",2016-06-06,2016,2010,2016.42896174863,"06","NPratio",-0.139761942375159
"0202CHA0122",2016-06-04,2016,2010,2016.42349726776,"06","NPratio",-1.88706964903238
"0602BRA0154",2016-06-05,2016,2010,2016.4262295082,"06","NPratio",0.956564631012095
"1302UWB0044H",2016-06-26,2016,2010,2016.48360655738,"06","NPratio",-0.856776604341748
"1201ECA0697",2016-06-26,2016,2010,2016.48360655738,"06","NPratio",0.916290731874155
"1401ANA0251",2016-06-26,2016,2010,2016.48360655738,"06","NPratio",-0.538996500732687
"1302HOW0127",2016-06-26,2016,2010,2016.48360655738,"06","NPratio",-0.550046336919272
"0801OTT0926",2016-06-26,2016,2010,2016.48360655738,"06","NPratio",-0.721896593845931
"1004MIR0250",2016-06-24,2016,2010,2016.4781420765,"06","NPratio",0.205443974214809
"0705DUC0222",2016-06-26,2016,2010,2016.48360655738,"06","NPratio",0.440693799991908
"0703CAZ0153",2016-06-23,2016,2010,2016.47540983607,"06","NPratio",0.3983476403393
"1104FRI0365",2016-06-27,2016,2010,2016.48633879781,"06","NPratio",0.722134717433198
"0906BLA0001",2016-06-27,2016,2010,2016.48633879781,"06","NPratio",-0.278428866971298
"1401DEV0174",2016-07-03,2016,2010,2016.50273224044,"07","NPratio",0.385662480811985
"1201CAN0717",2016-07-04,2016,2010,2016.50546448087,"07","NPratio",3.00729309595507
"1401MON0186",2016-07-04,2016,2010,2016.50546448087,"07","NPratio",-0.505094949057005
"0906SIX0056",2016-07-03,2016,2010,2016.50273224044,"07","NPratio",0.871838969303321
"1701LON0702",2016-07-03,2016,2010,2016.50273224044,"07","NPratio",-1.94182016380379
"1102BAB1109",2016-07-04,2016,2010,2016.50546448087,"07","NPratio",0.3147107448397
"1310SPR0081",2016-07-04,2016,2010,2016.50546448087,"07","NPratio",0.758898558122726
