"LAKE_ID","year","yrdate","month","decade","CHLA","SECCHI","NPratio","PHOS","COLOR","lake","ECOREG","MAXFT","ACRES","temp_type","alk_type","size_class","depth_type","acid","precipitation","zebra_mussels","algaecide"
"0202CHA0122",1987,197,7,1980,12.7,2.25,1.66666666666667,0.006,6,1,61,75,12990.22199,3,2,5,2,1142.130588,104.736222300809,0,0
"0202CHA0122",1987,205,7,1980,19.2,2.35,0.434782608695652,0.023,5,1,61,75,12990.22199,3,2,5,2,1142.130588,104.736222300809,0,0
"0202CHA0122",1987,158,6,1980,2.6,1.5,4.61538461538462,0.013,12,1,61,75,12990.22199,3,2,5,2,1142.130588,104.736222300809,0,0
"0202CHA0122",1987,212,7,1980,23.7,1.7,0.476190476190476,0.021,6,1,61,75,12990.22199,3,2,5,2,1142.130588,104.736222300809,0,0
"0202CHA0122",1988,191,7,1980,6,3.1,1,0.01,6,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,203,7,1980,10.1,3.45,0.526315789473684,0.019,5,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,172,6,1980,10.8,3.1,10,0.009,5,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,224,8,1980,22.9,3.25,0.344827586206897,0.029,5,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,232,8,1980,17,2.68,0.4,0.025,8,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,211,7,1980,10.6,3.65,0.666666666666667,0.015,5,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,218,8,1980,16.8,2.8,0.714285714285714,0.014,6,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,268,9,1980,16.5,1.57,0.256410256410256,0.039,8,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1988,253,9,1980,25.9,1.45,0.24390243902439,0.041,7,1,61,75,12990.22199,3,2,5,2,1236.695436,106.176781777774,0,0
"0202CHA0122",1989,212,7,1980,6.38,4.22,0.526315789473684,0.019,5,1,61,75,12990.22199,3,2,5,2,1206.769826,110.675010501637,0,0
